case_id,dimension,condition_number,delta_contract,rho_contract,cheap_cost_exact_units,initial_residual,candidate_residual,candidate_contract_satisfied,baseline_lower_calls,baseline_upper_calls,post_upper_calls,gate_accept,guaranteed_saved_calls,guaranteed_cost_slack,baseline_actual_calls,post_actual_calls,gated_actual_calls,gated_total_cost,gated_cost_ratio,always_total_cost,always_cost_ratio,posthoc_descent_accept,posthoc_total_cost,posthoc_cost_ratio
107,64,1.1852086053089268,0.00976269793441057,0.009858947864361433,2.0,0.9999999999999999,0.006261655625382319,True,21,26,18,True,3,1.0,25,16,16,18.0,0.72,18.0,0.72,True,18.0,0.72
108,64,1.1952119337885776,0.43257894194385205,0.7623596900435217,4.0,0.9999999999999999,0.27794714401392623,True,21,27,26,False,-5,-9.0,25,23,25,25,1.0,27.0,1.08,True,27.0,1.08
109,64,1.7573042716856784,0.5748093033366926,1.3518858899019197,4.0,1.0,0.42778896515634507,True,21,43,44,False,-23,-27.0,39,35,39,39,1.0,39.0,1.0,True,39.0,1.0
110,64,2.483695110925773,0.0065934136407106,0.006637175282755709,1.0,0.9999999999999999,0.003884171204287713,True,21,63,41,False,-20,-21.0,54,31,54,54,1.0,32.0,0.5925925925925926,True,32.0,0.5925925925925926
111,64,1.9300529501732528,0.19348501090074144,0.23990256041841407,2.0,1.0,0.1322102197010917,True,21,48,43,False,-22,-24.0,42,35,42,42,1.0,37.0,0.8809523809523809,True,37.0,0.8809523809523809
112,64,1.0819749703003918,0.017234854987920586,0.017537104439849408,0.25,1.0,0.011194867202394565,True,21,23,17,True,4,3.75,23,15,15,15.25,0.6630434782608695,15.25,0.6630434782608695,True,15.25,0.6630434782608695
113,64,1.3070262251569416,0.006295712580390085,0.006335599695094809,2.0,1.0,0.0034334136110730396,True,21,30,19,True,2,0.0,27,16,16,18.0,0.6666666666666666,18.0,0.6666666666666666,True,18.0,0.6666666666666666
114,64,1.181054854361843,0.04465610124913375,0.046743482956789296,0.25,1.0,0.02341119344932801,True,21,26,21,False,0,-0.25,25,18,25,25,1.0,18.25,0.73,True,18.25,0.73
115,64,1.6130245398595293,0.01795207305493456,0.01828024128188886,2.0,0.9999999999999999,0.010246092111845557,True,21,39,28,False,-7,-9.0,35,22,35,35,1.0,24.0,0.6857142857142857,True,24.0,0.6857142857142857
116,64,1.1202114032616826,0.3998883620727351,0.6663566190016176,2.0,1.0,0.2565547232089301,True,21,25,24,False,-3,-5.0,23,21,23,23,1.0,23.0,1.0,True,23.0,1.0
117,64,2.151624857977553,0.18269560890378325,0.22353435377820635,1.0,1.0,0.1097365821557687,True,21,54,48,False,-27,-28.0,47,39,47,47,1.0,40.0,0.851063829787234,True,40.0,0.851063829787234
118,64,2.981343113009155,0.007259212269572572,0.007312293762169633,4.0,0.9999999999999999,0.004350509632394686,True,21,77,50,False,-29,-33.0,66,38,66,66,1.0,42.0,0.6363636363636364,True,42.0,0.6363636363636364
119,64,1.031602833801057,0.003916132525515318,0.003931528913769535,4.0,0.9999999999999999,0.002009218848440124,True,21,22,13,True,8,4.0,22,12,12,16.0,0.7272727272727273,16.0,0.7272727272727273,True,16.0,0.7272727272727273
120,64,1.9552907017626364,0.4119847678018963,0.7006362169595934,0.5,0.9999999999999999,0.2901244230793198,True,21,48,47,False,-26,-26.5,42,37,42,42,1.0,37.5,0.8928571428571429,True,37.5,0.8928571428571429
